weight,threshold,accuracy,accusation_error,tps,tns,fps,fns
Exp λ=0.0,0.0,0.9599783666846944,0,3550,0,148,0
Exp λ=0.0,0.001001001001001001,0.9561925365062196,0.6666666666666666,3522,14,134,28
Exp λ=0.0,0.002002002002002002,0.952947539210384,0.7166666666666667,3507,17,131,43
Exp λ=0.0,0.003003003003003003,0.9488912925905895,0.7733333333333333,3492,17,131,58
Exp λ=0.0,0.004004004004004004,0.9437533802055165,0.8061224489795918,3471,19,129,79
Exp λ=0.0,0.005005005005005005,0.9415900486749594,0.7982456140350878,3459,23,125,91
Exp λ=0.0,0.006006006006006006,0.9402379664683613,0.7967479674796748,3452,25,123,98
Exp λ=0.0,0.007007007007007007,0.9369929691725257,0.8014184397163121,3437,28,120,113
Exp λ=0.0,0.008008008008008008,0.934559221200649,0.8133333333333334,3428,28,120,122
Exp λ=0.0,0.009009009009009009,0.9323958896700919,0.8148148148148148,3418,30,118,132
Exp λ=0.0,0.01001001001001001,0.9302325581395349,0.8197674418604651,3409,31,117,141
Exp λ=0.0,0.011011011011011011,0.9277988101676582,0.825136612021858,3399,32,116,151
Exp λ=0.0,0.012012012012012012,0.9234721471065441,0.8391959798994975,3383,32,116,167
Exp λ=0.0,0.013013013013013013,0.9215792320173066,0.8380952380952381,3374,34,114,176
Exp λ=0.0,0.014014014014014014,0.9196863169280692,0.8401826484018264,3366,35,113,184
Exp λ=0.0,0.015015015015015015,0.916170903190914,0.8403361344537815,3350,38,110,200
Exp λ=0.0,0.016016016016016016,0.9129259058950784,0.84251968503937,3336,40,108,214
Exp λ=0.0,0.017017017017017015,0.9091400757166036,0.8507462686567164,3322,40,108,228
Exp λ=0.0,0.018018018018018018,0.9083288263926447,0.8472727272727273,3317,42,106,233
Exp λ=0.0,0.01901901901901902,0.9061654948620876,0.8491228070175438,3308,43,105,242
Exp λ=0.0,0.02002002002002002,0.9031909140075717,0.85,3295,45,103,255
Exp λ=0.0,0.02102102102102102,0.9018388318009735,0.8478964401294499,3288,47,101,262
Exp λ=0.0,0.022022022022022022,0.900757166035695,0.8454258675078864,3282,49,99,268
Exp λ=0.0,0.023023023023023025,0.8980530016224987,0.8459214501510574,3270,51,97,280
Exp λ=0.0,0.024024024024024024,0.8972417522985398,0.8411764705882353,3264,54,94,286
Exp λ=0.0,0.025025025025025023,0.8942671714440238,0.8441926345609065,3252,55,93,298
Exp λ=0.0,0.026026026026026026,0.8918334234721471,0.8480662983425414,3243,55,93,307
Exp λ=0.0,0.02702702702702703,0.8888588426176312,0.8525469168900804,3232,55,93,318
Exp λ=0.0,0.028028028028028028,0.8866955110870741,0.8556430446194225,3224,55,93,326
Exp λ=0.0,0.029029029029029027,0.8837209302325582,0.8560606060606061,3211,57,91,339
Exp λ=0.0,0.03003003003003003,0.8823688480259599,0.8560794044665012,3205,58,90,345
Exp λ=0.0,0.031031031031031032,0.8820984315846403,0.854679802955665,3203,59,89,347
Exp λ=0.0,0.03203203203203203,0.8812871822606815,0.8523002421307506,3198,61,87,352
Exp λ=0.0,0.03303303303303303,0.8796646836127636,0.8544152744630071,3192,61,87,358
Exp λ=0.0,0.03403403403403403,0.8777717685235262,0.8534883720930233,3183,63,85,367
Exp λ=0.0,0.035035035035035036,0.8747971876690103,0.8571428571428571,3172,63,85,378
Exp λ=0.0,0.036036036036036036,0.8734451054624122,0.8587443946188341,3167,63,85,383
Exp λ=0.0,0.037037037037037035,0.872093023255814,0.8587196467991169,3161,64,84,389
Exp λ=0.0,0.03803803803803804,0.869118442401298,0.8620689655172413,3150,64,84,400
Exp λ=0.0,0.03903903903903904,0.8680367766360195,0.8617021276595744,3145,65,83,405
Exp λ=0.0,0.04004004004004004,0.8666846944294213,0.8616352201257862,3139,66,82,411
Exp λ=0.0,0.04104104104104104,0.8645213628988643,0.8624229979466119,3130,67,81,420
Exp λ=0.0,0.04204204204204204,0.8628988642509464,0.8626262626262626,3123,68,80,427
Exp λ=0.0,0.043043043043043044,0.861005949161709,0.8630952380952381,3115,69,79,435
Exp λ=0.0,0.044044044044044044,0.8583017847485127,0.862934362934363,3103,71,77,447
Exp λ=0.0,0.04504504504504504,0.8564088696592753,0.8647619047619047,3096,71,77,454
Exp λ=0.0,0.04604604604604605,0.8542455381287182,0.8640595903165735,3086,73,75,464
Exp λ=0.0,0.04704704704704705,0.8534342888047594,0.8648148148148148,3083,73,75,467
Exp λ=0.0,0.04804804804804805,0.8493780421849648,0.8671454219030521,3067,74,74,483
Exp λ=0.0,0.04904904904904905,0.8466738777717685,0.8694885361552028,3057,74,74,493
Exp λ=0.0,0.050050050050050046,0.8447809626825311,0.8710801393728222,3050,74,74,500
Exp λ=0.0,0.05105105105105105,0.8428880475932937,0.868824531516184,3040,77,71,510
Exp λ=0.0,0.05205205205205205,0.8412655489453759,0.8664440734557596,3031,80,68,519
Exp λ=0.0,0.05305305305305305,0.8377501352082206,0.869281045751634,3018,80,68,532
Exp λ=0.0,0.05405405405405406,0.8363980530016225,0.8703403565640194,3013,80,68,537
Exp λ=0.0,0.055055055055055056,0.8361276365603029,0.8705501618122977,3012,80,68,538
Exp λ=0.0,0.056056056056056056,0.8339643050297458,0.8722044728434505,3004,80,68,546
Exp λ=0.0,0.057057057057057055,0.832341806381828,0.8722397476340694,2997,81,67,553
Exp λ=0.0,0.058058058058058054,0.8301784748512709,0.8726708074534162,2988,82,66,562
Exp λ=0.0,0.05905905905905906,0.8290968090859925,0.8711656441717791,2982,84,64,568
Exp λ=0.0,0.06006006006006006,0.8285559762033532,0.8704268292682927,2979,85,63,571
Exp λ=0.0,0.06106106106106106,0.8255813953488372,0.8725637181409296,2968,85,63,582
Exp λ=0.0,0.062062062062062065,0.8234180638182802,0.8740740740740741,2960,85,63,590
Exp λ=0.0,0.06306306306306306,0.8223363980530016,0.8748159057437408,2956,85,63,594
Exp λ=0.0,0.06406406406406406,0.8193618171984857,0.8757225433526011,2944,86,62,606
Exp λ=0.0,0.06506506506506507,0.8161168199026501,0.8757062146892656,2930,88,60,620
Exp λ=0.0,0.06606606606606606,0.8142239048134127,0.8758716875871687,2922,89,59,628
Exp λ=0.0,0.06706706706706707,0.8123309897241753,0.8770718232044199,2915,89,59,635
Exp λ=0.0,0.06806806806806806,0.8098972417522985,0.878581173260573,2906,89,59,644
Exp λ=0.0,0.06906906906906907,0.8082747431043807,0.8795669824086604,2900,89,59,650
Exp λ=0.0,0.07007007007007007,0.8061114115738237,0.8808567603748326,2892,89,59,658
Exp λ=0.0,0.07107107107107107,0.803677663601947,0.8822751322751323,2883,89,59,667
Exp λ=0.0,0.07207207207207207,0.8028664142779881,0.8807339449541285,2878,91,57,672
Exp λ=0.0,0.07307307307307308,0.8015143320713899,0.8805194805194805,2872,92,56,678
Exp λ=0.0,0.07407407407407407,0.7982693347755544,0.8813775510204082,2859,93,55,691
Exp λ=0.0,0.07507507507507508,0.7958355868036776,0.8827238335435057,2850,93,55,700
Exp λ=0.0,0.07607607607607608,0.7936722552731206,0.8838951310861424,2842,93,55,708
Exp λ=0.0,0.07707707707707707,0.7925905895078421,0.884472049689441,2838,93,55,712
